feature_name,category,dtype,include_in_model,pandas_dtype,n_nulos,n_unicos
cod_beneficiario,identificacao,identifier,False,string,0,5035
competencia,contratual,identifier,False,object,0,76
valor_faturamento,financeiro,monetary,True,float64,0,49
idade,demografico,numeric,True,float64,0,70
sexo,demografico,categorical,True,string,0,3
tipo_cadastro,contratual,categorical,True,object,0,3
plano,contratual,categorical,True,object,0,2
valor_sinistro_raw,resultado,leakage,False,float64,0,14875
qtd_eventos_sinistro,utilizacao,quasi_leakage,False,float64,0,119
qtd_carater_eletivo,utilizacao,quasi_leakage,False,float64,0,73
qtd_carater_urgencia,utilizacao,quasi_leakage,False,float64,0,111
valor_sinistro_alt_val,resultado,leakage,False,float64,0,14770
qtd_conta_internado,utilizacao,count,True,float64,0,101
qtd_servico_ACUPUNTURA,utilizacao,count,True,float64,0,13
qtd_servico_CIRURGICO,utilizacao,count,True,float64,0,6
qtd_servico_CLÍNICO,utilizacao,count,True,float64,0,15
qtd_servico_CONSULTA,utilizacao,count,True,float64,0,20
qtd_servico_DIÁRIA,utilizacao,count,True,float64,0,6
qtd_servico_ENDOSCOPIA,utilizacao,count,True,float64,0,3
qtd_servico_FISIOTERAPIA,utilizacao,count,True,float64,0,23
qtd_servico_HEMODIÁLISE,utilizacao,count,True,float64,0,2
qtd_servico_LABORATÓRIO,utilizacao,count,True,float64,0,104
qtd_servico_QUIMIOTERAPIA,utilizacao,count,True,float64,0,7
qtd_servico_RADIOLOGIA,utilizacao,count,True,float64,0,13
qtd_servico_RESSONÂNCIA MAGNÉTICA,utilizacao,count,True,float64,0,6
qtd_servico_TERAPIAS COMPLEMENTARES,utilizacao,count,True,float64,0,19
qtd_servico_TOMOGRAFIA,utilizacao,count,True,float64,0,8
qtd_servico_ULTRA-SONOGRAFIA,utilizacao,count,True,float64,0,14
qtd_servico___OUTROS__,utilizacao,count,True,float64,0,26
qtd_esp_cardio,utilizacao,count,True,float64,0,4
qtd_esp_cirurg,utilizacao,count,True,float64,0,6
qtd_esp_clin_geral,utilizacao,count,True,float64,0,20
qtd_esp_derm,utilizacao,count,True,float64,0,3
qtd_esp_lab_imagem,utilizacao,count,True,float64,0,109
qtd_esp_neuro,utilizacao,count,True,float64,0,3
qtd_esp_oftal,utilizacao,count,True,float64,0,8
qtd_esp_outros,utilizacao,count,True,float64,0,37
pct_urgencia,utilizacao,numeric,True,float64,0,452
sinistralidade_raw,resultado,leakage,False,float64,0,16623
sin_ref,resultado,leakage,False,float64,0,76
fator_ajuste_m,resultado,leakage,False,float64,6254,72
S_real_m,resultado,leakage,False,float64,0,73
F_real_m,resultado,leakage,False,float64,0,76
valor_sinistro_ajustado,resultado,leakage,False,float64,0,21141
sinistralidade_final,resultado,target,False,float64,0,21441
qtd_conta_externo,utilizacao,count,True,float64,0,66
qtd_conta_pronto_socorro,utilizacao,count,True,float64,0,51
qtd_conta_ambulatorial,utilizacao,count,True,float64,0,29
qtd_conta_eletivo,utilizacao,count,True,float64,0,12
qtd_conta_na,utilizacao,count,True,float64,0,8
qtd_conta_urgencia_emergencia,utilizacao,count,True,float64,0,1
