DATA,COMPETENCIA,VALOR_FATURAMENTO,SINISTRALIDADE,imputado,REGISTO,SINISTRALIDADE_PREVISTA,forecast_p05,forecast_p25,forecast_p75,forecast_p95
2019-09-01,2019-09,15319.68,0.2676840855457054,False,historico,,,,,
2019-10-01,2019-10,14601.57,0.23583613279643684,False,historico,,,,,
2019-11-01,2019-11,14601.57,0.16016390046561296,False,historico,,,,,
2019-12-01,2019-12,13883.460000000001,0.23396486946991185,False,historico,,,,,
2020-01-01,2020-01,13883.460000000001,0.44251485327193485,False,historico,,,,,
2020-02-01,2020-02,14122.83,0.24228689129553524,False,historico,,,,,
2020-03-01,2020-03,13165.35,2.382558989101005,False,historico,,,,,
2020-04-01,2020-04,13165.35,2.382558989101005,False,historico,,,,,
2020-05-01,2020-05,18431.49,2.382558989101005,False,historico,,,,,
2020-06-01,2020-06,18431.49,2.382558989101005,False,historico,,,,,
2020-07-01,2020-07,17713.38,0.06614081041330554,False,historico,,,,,
2020-08-01,2020-08,16995.27,0.1326491131377163,False,historico,,,,,
2020-09-01,2020-09,16277.16,0.4158329806062919,False,historico,,,,,
2020-10-01,2020-10,16277.16,0.43590163766966916,False,historico,,,,,
2020-11-01,2020-11,16277.16,0.12528055072816982,False,historico,,,,,
2020-12-01,2020-12,16516.53,0.14385634968726888,False,historico,,,,,
2021-01-01,2021-01,16516.53,0.3545305141875957,False,historico,,,,,
2021-02-01,2021-02,16516.53,0.3325123596949692,False,historico,,,,,
2021-03-01,2021-03,16516.53,0.6210079424208943,False,historico,,,,,
2021-04-01,2021-04,16755.9,0.5507458239779762,False,historico,,,,,
2021-05-01,2021-05,16755.9,0.20586665696379416,False,historico,,,,,
2021-06-01,2021-06,13644.09,0.25621355712156524,False,historico,,,,,
2021-07-01,2021-07,15040.87,0.048512186593763724,False,historico,,,,,
2021-08-01,2021-08,15040.87,0.04276843158363081,False,historico,,,,,
2021-09-01,2021-09,16570.45,0.04344813474920464,False,historico,,,,,
2021-10-01,2021-10,16315.52,0.20287250201644913,True,historico,,,,,
2021-11-01,2021-11,16060.59,0.36229686928369365,True,historico,,,,,
2021-12-01,2021-12,15805.66,0.521721236550938,False,historico,,,,,
2022-01-01,2022-01,15040.87,0.11378177141939233,False,historico,,,,,
2022-02-01,2022-02,15040.87,0.24174893267788963,False,historico,,,,,
2022-03-01,2022-03,13707.4,0.10342469352901831,False,historico,,,,,
2022-04-01,2022-04,13766.220000000001,0.1101302072819841,False,historico,,,,,
2022-05-01,2022-05,13766.220000000001,0.3778214528899547,False,historico,,,,,
2022-06-01,2022-06,11216.92,0.0350147374065636,False,historico,,,,,
2022-07-01,2022-07,11216.92,0.1350504807088695,False,historico,,,,,
2022-08-01,2022-08,12236.64,0.28354596448888764,False,historico,,,,,
2022-09-01,2022-09,12236.64,0.02803231248894735,False,historico,,,,,
2022-10-01,2022-10,12491.57,0.04469415263541605,False,historico,,,,,
2022-11-01,2022-11,11471.85,0.05986029837139948,False,historico,,,,,
2022-12-01,2022-12,11471.85,0.008883569972880798,False,historico,,,,,
2023-01-01,2023-01,11726.78,0.0402197234808712,False,historico,,,,,
2023-02-01,2023-02,11471.85,0.041748564172726765,False,historico,,,,,
2023-03-01,2023-03,11471.85,0.03451871524065109,False,historico,,,,,
2023-04-01,2023-04,10530.73,0.030748703061810476,False,historico,,,,,
2023-05-01,2023-05,11471.85,0.05023814390544956,False,historico,,,,,
2023-06-01,2023-06,11471.85,0.030592240483922496,False,historico,,,,,
2023-07-01,2023-07,11471.85,0.0086442410015616,False,historico,,,,,
2023-08-01,2023-08,11777.92,0.029798065199106664,False,historico,,,,,
2023-09-01,2023-09,12580.960000000001,0.08806245993095616,False,historico,,,,,
2023-10-01,2023-10,11777.92,0.023849286373163137,False,historico,,,,,
2023-11-01,2023-11,11777.92,0.05582617081515281,False,historico,,,,,
2023-12-01,2023-12,12848.64,0.014454265454120683,False,historico,,,,,
2024-01-01,2024-01,12848.64,0.03240500907184724,False,historico,,,,,
2024-02-01,2024-02,12848.64,0.10335617455345497,False,historico,,,,,
2024-03-01,2024-03,13116.32,0.1331088407827965,False,historico,,,,,
2024-04-01,2024-04,13384.0,0.028456037349555225,False,historico,,,,,
2024-05-01,2024-05,14722.4,0.14052385610141,False,historico,,,,,
2024-06-01,2024-06,14722.4,0.07034542045230303,False,historico,,,,,
2024-07-01,2024-07,6959.68,0.013388055198270644,False,historico,,,,,
2024-08-01,2024-08,4818.24,0.5149172601526261,False,historico,,,,,
2024-09-01,2024-09,5005.65,0.42535459822461896,False,historico,,,,,
2024-10-01,2024-10,5005.65,0.033788018238549176,False,historico,,,,,
2024-11-01,2024-11,3827.85,0.04676317302477211,False,historico,,,,,
2024-12-01,2024-12,12366.9,0.07454247306142728,False,historico,,,,,
2025-01-01,2025-01,12366.9,0.07634499409682811,False,historico,,,,,
2025-02-01,2025-02,14722.5,0.3010665344624003,False,historico,,,,,
2025-03-01,2025-03,15311.4,0.2812892570570618,False,historico,,,,,
2025-04-01,2025-04,15311.4,0.5626686032891998,False,historico,,,,,
2025-05-01,2025-05,15311.4,0.18876583791688634,False,historico,,,,,
2025-06-01,2025-06,15016.949999999999,0.17273398890968306,False,historico,,,,,
2025-07-01,2025-07,14722.5,0.20862981832295807,False,historico,,,,,
2025-08-01,2025-08,17251.920000000002,0.2021729212050831,False,historico,,,,,
2025-09-01,2025-09,17251.920000000002,0.04782267159178822,False,historico,,,,,
2025-10-01,2025-10,15974.0,0.08400554767864306,False,historico,,,,,
